"id","vecino_1","vecino_2","vecino_3","vecino_4","vecino_5","dist_vecino_1","dist_vecino_2","dist_vecino_3","dist_vecino_4","dist_vecino_5","monto_promedio","distancia_promedio","promedio_por_pedido","ganancia"
7496,2343,17778,58249,231014,2345,0.0723072432777893,0.0776982325092533,0.082729966058139,0.0899297887996453,0.0971615269585731,204257.862745518,0.08396535152068,125645.34774577,78612.5149997478
10200,23526,23723,2747,23710,58265,0.134524586373953,0.137654246097085,0.142254064228666,0.152742420102774,0.190065645377307,194922.506307107,0.151448192435957,71514.7291193599,123407.777187747
10813,19557,23428,19588,250399,58287,0.0461241066153068,0.0579565451408921,0.0678672544132519,0.0716691114599582,0.0722829979872209,161827.171392992,0.063180003123326,119226.236261168,42600.935131824
11635,20612,678,75602,31562,47816,0.0600771241078945,0.0641354921377386,0.0795073534853598,0.0809530355545219,0.0811393947323431,219500.949182942,0.0731624800035716,107662.995348496,111837.953834446
14299,26148,36326,17650,3563,431,0.0615810325919166,0.0615957664252109,0.0805640168113814,0.0831570339568346,0.0859172450656177,209952.307425718,0.0745630189701922,38069.4335601723,171882.873865546
14486,62,5357,355,110,15817,0.00544413508037954,0.0594298767503854,0.108146240921742,0.10932923245925,0.110618070513723,228785.665138363,0.078593511145096,146523.837150319,82261.827988044
14699,913,22694,18999,25451,100271,0.085552928984849,0.108918499636108,0.122397748007484,0.130423903707168,0.132017235113746,206165.573925598,0.115862063089871,171597.406404872,34568.1675207258
14701,913,22694,176133,18999,25451,0.075854399442366,0.116733320552958,0.129421056082851,0.13755050152757,0.137843538679124,218695.868465435,0.119480563256974,149549.254005083,69146.6144603522
14985,245,194,15821,2640,17961,0.0396521060090732,0.0793760403723279,0.0912163036888114,0.0930646346519861,0.0946212569416038,182057.765021996,0.0795860683327605,161254.890054475,20802.874967521
14992,803,19003,141,380,15519,0.0846505009560238,0.116552921801211,0.125795811299313,0.12676598265335,0.126869184282035,173913.887287632,0.116126880198387,154563.977887443,19349.9094001886
15514,18118,19528,22085,18341,402,0.06634685373699,0.0686554257696711,0.0871030141336578,0.110457285150353,0.114366769070684,175130.204713641,0.0893858695722712,144513.937669721,30616.2670439198
15718,294122,19626,224,15708,195,0.0896378020887538,0.0994092925628934,0.101750898129797,0.102079490270899,0.104263624664656,180789.484005689,0.0994282215433998,106258.924494159,74530.5595115298
15725,145177,16494,17053,29558,207498,0.101535013297568,0.103715571921309,0.110444999207433,0.114250603190723,0.114557348456017,191460.290027972,0.10890070721461,186741.995032406,4718.29499556619
15736,84174,207538,18656,3931,684,0.00965603161782257,0.0978048899156976,0.10056131157048,0.103362065135003,0.112703322583201,187831.055080458,0.0848175241644408,173683.034235922,14148.0208445358
15747,21976,63388,516,47591,1413,0.00221431193214921,0.074497309783286,0.096061952094634,0.103530800278912,0.106470683978598,135235.951203656,0.0765550116135158,124824.378094007,10411.573109649
15813,18334,20258,2794,479,2824,0.0806794993321864,0.152176172158753,0.154319372062656,0.158580775601139,0.165276298007833,173817.100422561,0.142206423432513,108909.87273308,64907.2276894808
15816,21495,2345,3553,220048,9404,0.0616830560175043,0.0691858816885721,0.0710658470103932,0.0718298175820511,0.0828750739310074,190551.454334203,0.0713279352459056,126706.345584204,63845.1087499989
15833,789,771,21778,44920,493,0.14077085975048,0.141145339117056,0.144374173688734,0.157871887925937,0.160849494398816,206161.710602282,0.149002350976205,107629.187541238,98532.5230610436
16032,45862,21789,21812,15313,914,0.0219857971258581,0.106037340092991,0.110270981756652,0.113975556582092,0.115144219087674,147203.931177321,0.0934827789290534,122222.583756488,24981.3474208327
16309,17832,151384,15982,20864,24724,0.0627487096289856,0.067015810688437,0.0735747545319297,0.0781796839049348,0.079750377685047,146889.817197934,0.0722538672878668,93899.0909401847,52990.7262577493
16792,157188,2436,101569,136966,266210,0.330775375333298,0.335832544049609,0.341735494650427,0.342805054901933,0.342809389198309,601247.317689865,0.338791571626715,191441.724696401,409805.592993464
16900,224115,151294,224073,220048,3553,0.0935123353548679,0.0946523509642615,0.0948867308195641,0.0981729969094985,0.0992977659694439,159911.860045418,0.0961044360035272,150304.445037697,9607.41500772123
16972,79953,129,5901,21,2794,0.124301955416614,0.130610342969991,0.142993059135039,0.145058463420563,0.154898284698348,182100.535903295,0.139572421128111,138769.900018241,43330.635885054
17015,3663,26148,36326,17650,47631,0.0557363879231285,0.0670034738783416,0.0670165372871266,0.0670953801003862,0.0719685650229922,219101.416958685,0.065764068842395,215801.097565139,3300.3193935458
17252,883,265,2669,5357,15524,0.0800205547901971,0.080608396288774,0.0813616727403616,0.0909570425625217,0.102072970697858,191944.14339023,0.0870041274159425,171812.864003643,20131.279386587
17258,926,23,67280,20056,22481,0.0467027091457157,0.0532980174751919,0.0689010905189164,0.0715700928832984,0.0792404688293967,262862.445759669,0.0639424757705038,188213.895069715,74648.5506899542
17776,470,300421,8734,124572,130135,0.0982625218203919,0.137067738922562,0.141787390746894,0.142082739759597,0.143360175252249,143529.755917443,0.132512113300339,142026.540284037,1503.21563340587
17931,255688,16438,16982,19365,16908,0.0301777359289029,0.114889078839091,0.127310379985481,0.130135833952355,0.134381931329342,206065.361345804,0.107378992007034,195734.228249435,10331.1330963692
17960,2747,23710,41058,690,22492,0.0953300583955196,0.0997564609053393,0.109417409986534,0.153842612730031,0.158969951757313,192973.066211641,0.123463298754947,122084.4355126,70888.6306990414
18105,15675,14702,989,16993,16643,0.0691253789131424,0.0798066172277045,0.0836833296293163,0.0857819016315483,0.0972963177545984,200042.101748015,0.083138709031262,169302.872245871,30739.2295021442
18110,18705,18872,20258,3836,73076,0.161268465824636,0.162265947532979,0.167906549092449,0.168049865336236,0.192424781113808,191740.479533292,0.170383121780022,178048.496069269,13691.9834640228
18314,284974,63432,16983,781,323,0.104871226039528,0.129436742288975,0.130093310325541,0.137786843038937,0.141869052794003,211817.327968339,0.128811434897397,185987.141512192,25830.1864561474
