"id","vecino_1","vecino_2","vecino_3","vecino_4","vecino_5","dist_vecino_1","dist_vecino_2","dist_vecino_3","dist_vecino_4","dist_vecino_5"
67356,1551,203748,48788,36199,49035,4.63303392569092,4.78515867597425,4.82642711512528,5.26604323690541,5.53231964557303
73316,20681,157309,3507,18651,2906,5.10770019732414,6.57105950423836,6.91049725458818,6.92400138553603,7.40889418239861
2955,300535,278510,104,301864,82851,3.21800738697403,3.49997245006493,3.5972262806892,3.8173168363688,3.87070157334679
22932,30743,72208,16983,892,20707,1.82519114808646,2.63024738576932,2.7927707223451,2.81423972818699,2.90023352824855
733,25451,22022,20256,333,21059,2.90230373175915,3.12174412884528,3.29604032344744,3.38490049520018,3.41170951371373
5027,27828,18828,16789,23193,18109,2.91496688154673,3.03086407465145,3.16577925669181,3.21161031816452,3.29128739690025
22923,17636,207629,342,20839,1927,3.12930173263351,3.34021226629425,3.37181251703153,3.41518025786743,3.56413579376264
248986,39243,76166,49366,1551,169007,4.79207471149628,6.34959650449205,6.80816580235491,7.54089409042683,7.84434854716743
2682,7921,3408,567,15990,29628,7.55833679571603,7.97300594912497,8.20520390210443,8.34256110942596,8.55956778689812
282488,21976,1927,265,17636,342,2.86778279780471,3.21085786781962,3.33077672188347,3.38795072032412,3.49820567946378
19552,5683,128,16587,7894,289406,1.55026483460088,1.66970180996092,1.81201477906835,1.81345080380775,2.1723270896289
22457,36185,24342,36199,1551,203769,3.12878081737124,4.43930429221587,4.77494091210136,4.96720322182867,5.15968195793218
10010,249156,264196,141097,2906,3507,6.29242270546108,6.68224887617803,6.8182542765191,6.95497485815218,6.95632923777209
117,15300,29628,2346,41,17275,3.10272819434446,3.65586301175306,4.56526760456506,4.77425596212021,4.92101629257442
32305,5956,9313,19013,75545,25452,2.50765333680184,3.40050061358747,4.12662446903931,4.48856264916869,5.10448378973884
41575,18330,71220,77096,14368,20869,4.54022111258381,4.82416741336148,4.90480714492647,4.97880073781868,5.14463492346837
284977,249156,212217,105152,18330,169007,4.5326226747578,5.96052081876072,6.02680322766707,6.0889972779695,6.10132001642892
23980,21061,442,20866,22802,88202,2.06783938681233,2.73079298085967,2.80746157766386,2.99665710940458,3.146638178527
697,24713,19014,21119,4597,2738,2.67029140076129,3.20305872670985,3.25802489363135,3.41709777761908,3.43164439788938
77202,265,62,15675,17961,290650,2.94412153793509,3.49007464190373,3.50977114278552,3.5306931771926,3.62939112180776
50853,76166,163662,212,216371,50823,1.82130516311611,3.2906996145233,3.84114360658696,4.14652242817227,4.35929492496682
161272,4500,61503,398,8734,21061,2.97131367813411,3.64969047854347,3.9965502473801,4.02332689622264,4.04947196153983
503,278352,25451,333,16264,44955,1.34923076593346,1.58331508252287,2.80721030725909,2.84348950613332,2.85332636537648
10268,141097,10295,1501,264292,6898,5.0402607358384,5.14021216015295,5.22446426510989,5.25123288145362,5.30004394707665
4201,50762,264196,2781,15300,62557,4.48021890650985,4.73224100655979,4.78319229575513,5.55796436064293,5.92905081989992
30,203748,203769,24342,183,556,4.95885441114863,5.15165646664602,5.5108038409295,6.09446974829433,6.24647329271634
724,3371,21847,3408,15990,546,4.62261146201623,4.64558405291099,4.77292069101657,4.80225829523645,4.84885841836418
703,493,394,14392,920,97439,2.16636095695322,2.38125381133281,2.40295874795767,2.4993689617386,2.55726824761247
253818,701,18019,270425,23431,20284,1.48047968535629,1.67518791489998,1.90578220665022,2.05944596540033,2.51543192478187
86695,174,36261,2524,21368,444,4.3939228314716,4.69315512140907,4.70315877653264,5.19128397158586,5.39498209292958
109866,4622,30445,1501,18330,105152,0.607434015827697,6.78131927326753,7.06342969691938,7.13455277703147,7.37741369748869
3777,1580,24500,36326,17184,26148,4.03717117784025,4.1535342726688,4.43149059743816,4.53823554366755,4.66974053345239
5142,80182,2836,49,16597,30275,1.75003273690116,4.88766899506744,4.91745572150676,5.3782006218763,5.92875672263691
45884,84995,250392,61,19316,268,3.3886546340131,3.58025929525036,3.95965096117803,4.0183836493205,4.02878005504619
99435,66567,6375,69500,78201,62546,2.43145587825153,2.53672283781069,2.72869222660834,2.79226693295515,2.80854621573126
19055,50843,2927,67280,49060,22316,3.18167624704658,3.34381963310601,3.4376297583771,3.45783622344402,3.47362864806658
26635,297570,284793,3563,185320,47631,2.50410980661972,2.78726041515633,2.87768217052448,2.9978918942545,3.12738418449542
