"id","vecino_1","vecino_2","vecino_3","vecino_4","vecino_5","dist_vecino_1","dist_vecino_2","dist_vecino_3","dist_vecino_4","dist_vecino_5"
18832,16980,88286,1413,15675,16993,0.0907423112032802,0.105390758510149,0.105862464095744,0.106361846033352,0.107778863785362
301836,3527,516,15537,19626,2668,0.0858006280387486,0.095845071412334,0.102035335732198,0.105958346869048,0.106503279856679
15972,505,7039,151294,16330,258547,0.0555712992716186,0.0722925149180923,0.0759344807276624,0.0845831517617161,0.085784290639385
231076,543,14391,17,40001,463,0.0594557718375005,0.07595049540902,0.0874653444059448,0.105261853935104,0.134541780546546
17945,703,16262,19316,234794,189,0.127905995975338,0.128081616197684,0.128524281650451,0.130113697170092,0.131883284468071
249094,5357,15524,2669,518,62,0.060265875338937,0.0747562768664015,0.0884810283285777,0.10009441774561,0.106832005326184
23667,23657,32112,266164,2590,21976,0.125752471106548,0.127952961631349,0.146773809522037,0.14915052225193,0.150053918662954
3130,21078,97,270295,18488,51289,0.0575532527042679,0.0644319897474917,0.123688764076654,0.139817925843849,0.149328221926764
15,133027,299243,25451,21735,278352,0.14018278273303,0.141273630636122,0.152496514303236,0.158042712224298,0.169777604079742
3662,220048,3553,224073,224115,69416,0.056752826333772,0.0571066658347839,0.0805610638189645,0.0836417815304164,0.0856878814817143
286558,64,297656,65598,234572,20612,0.0696126200057472,0.112261424861161,0.112878516826477,0.124126215296431,0.128560245672816
19007,32622,21737,4068,15434,15050,0.0966941218582831,0.149482033326072,0.17664302644344,0.216549397100551,0.241161784062173
47356,20600,26650,24229,88135,72183,0.125322242232919,0.125752465270189,0.128797051851276,0.129255967969003,0.12962475489742
297774,291554,24418,618,603,210759,0.0901942083967707,0.0949278320490814,0.102085134555491,0.120555160057161,0.120879558411419
16906,16438,16908,150994,25840,15817,0.0842685420108055,0.108348339422061,0.110703841861848,0.111842591569065,0.113760183623785
18662,27562,48996,44955,26468,96,0.0530755907903558,0.0540231715256184,0.0643306536128874,0.0723786863419558,0.0804543027566164
22941,188,2734,79249,2824,18826,0.00420809023905697,0.00486777985482578,0.0900982827304776,0.0911458731671704,0.10942145018802
21042,27719,47975,77117,20863,19574,0.0617371277622883,0.0726943048723031,0.0748832562091256,0.0758157185555225,0.0822438328273044
15816,21495,2345,220048,3553,17778,0.0596845277395,0.0673023080503654,0.0726822805669898,0.07269140356862,0.0847750852110033
20135,127025,595,17053,23939,757,0.093976059983826,0.114521776491165,0.119329639023419,0.120003652584141,0.122419586953575
25452,99452,77117,146311,75602,65598,0.0276842828780718,0.100594529728939,0.101118069775629,0.10493592568699,0.10725488420262
15880,111225,15821,27119,245,194,0.110264717330557,0.115742764941228,0.1205988114537,0.122320357151,0.136996632509738
192520,20846,2683,189706,18119,282327,0.0981872720190867,0.106305068494886,0.112995103217145,0.114408569896165,0.116114531241334
20322,261,185326,53,3461,52644,0.122206580771187,0.128326795958319,0.128909687213283,0.146594752890387,0.153993470312626
2809,17584,452,32390,2735,2738,0.0783302115216646,0.0840113491019333,0.0930952666935925,0.0940830684545262,0.09412852660516
737,127025,14624,14392,402,16974,0.0000893735045413341,0.0632506131934766,0.0777832186472711,0.0809799801115517,0.0848207315984962
282510,299144,83,21055,18338,128290,0.10234937662514,0.104587138414282,0.118359931195788,0.126874347601587,0.140305134993287
30668,48759,30754,23656,242041,31540,0.0792459326917461,0.0984074056638147,0.145303813738594,0.160145632080178,0.166235206349881
512,21093,71164,151152,249124,294067,0.0669767687376958,0.0724462184893438,0.0757409002950703,0.0832236672290961,0.089758880639388
24204,437,48388,15412,23155,24212,0.0127184726361419,0.0833965305031246,0.193209009179858,0.268011816804187,0.30774206201094
7496,2343,17778,58249,231014,2345,0.0727757089543077,0.0784608913563103,0.0835758409280778,0.0899511974326353,0.101457319524788
1033,21744,59214,45184,18641,22014,0.082207832583221,0.104547576528424,0.109860663550982,0.113332340418177,0.115887526305833
17015,3663,26148,36326,47631,217447,0.0561952976518411,0.0679427521062325,0.0679560344044275,0.0729790689383965,0.0825331334969285
217079,5654,150994,379,25840,294122,0.0000279383724869536,0.0676516046773149,0.0677938194698068,0.0786813276953929,0.091114168701845
15813,18334,20258,2794,479,2824,0.0809730360965053,0.153561813851815,0.159131424901571,0.15993391587437,0.167347883509232
161272,4500,42824,267,292,21119,0.0787360699034366,0.102921812491523,0.108034315755429,0.109915142464477,0.113944052030918
769,20707,79250,609,20128,88202,0.0968365092504652,0.099817269938597,0.1085473820513,0.115164250271453,0.125248955090288
14699,913,22694,18999,25451,100271,0.0863877672796896,0.110142631636522,0.123389908337701,0.131601944353893,0.134263342882045
22932,652,24131,30743,8743,570,0.00164665287773468,0.0521779992868396,0.0682116516194399,0.0787389911584439,0.0910876384406423
22900,515,16494,18146,1042,806,0.107970672032228,0.108879728237527,0.109800593761073,0.114236729302839,0.119278372672989
50804,903,20600,2927,694,67275,0.0742679027515575,0.0751850390684689,0.0892746448356471,0.0932341303915791,0.0946500881361584
89065,15666,56428,37744,479,73076,0.0773001452772062,0.128117361447321,0.13033014950037,0.134277975511612,0.145123649994101
46595,32390,16993,278510,15675,2420,0.107336744105784,0.111010013047894,0.114917669690849,0.118285343084852,0.119349491542567
18819,771,127025,18341,482,61,0.133365062294205,0.137538017682474,0.137705653805497,0.137937061455224,0.139643249932368
20605,2695,163744,62467,21059,47820,0.0711973947177756,0.0813248841600843,0.0888338287939647,0.10165893091618,0.102480508033098
14299,26148,36326,3563,431,47631,0.0622273727826906,0.0622422754206161,0.0859467893602262,0.0868269083973738,0.0953021607285428
124,79249,18826,21803,188,22214,0.0619772441654551,0.0939985287665148,0.102429687400705,0.119328261799569,0.119406828280062
